CustLocation,TotalTransactions,TotalAmount,AvrageAmount
PANCHMAHALS,4,336,84
NARIMAN POINT  MUMBAI,2,4159.98,2079.99
CITY FEROZEPUR,3,721.3,240.4333333
PALAMU,17,7535.86,443.2858824
W MUMBAI,15,30548.08,2036.538667
.,12,20423.1,1701.925
BHAGALPUR,23,13190.6,573.5043478
GRTR MUMBAI MUMBAI,1,666,666
VADAGAV SHINDE HAVELI PUNE,2,3100,1550
TARAN,3,188,62.66666667
PALGHAR DIST THANE BOISAR,1,5000,5000
KAKKANAD,5,7149,1429.8
BALIKUDA,1,10,10
FINANCE THIRUVANANTHAPURAM,2,693.92,346.96
STORES MANGALORE,3,1700,566.6666667
DENA BANK RADHANPUR ROAD MEHSANA,1,187,187
MAHENDRAGARH,20,22609.15,1130.4575
TIRUNELVELI,40,38474,961.85
DIST THANE,9,4950.62,550.0688889
PALLADAM,2,138,69
BARIPADA,2,245.78,122.89
NR AMITABH BUNGLOW MUMBAI,4,1514,378.5
JOUNK)DISTT PAURI GARHWAL RISHIKESH,5,366,73.2
DOMBIVLI EAST THANE,5,1253,250.6
PETROL PUMP KOLKATA,1,300,300
BANSWARA,15,4788.89,319.2593333
KATEMANIVALI KALYAN THANE,3,858,286
GIRGAON MUMBAI,3,1725,575
MARKET SECUNDRABAD,9,6788.91,754.3233333
BELLARY,12,4435.4,369.6166667
GANDHIDHAM,58,61166.04,1054.586897
BANGALORE SOUTH BANGALORE,8,2001,250.125
DHARAMSHALA,42,20603.57,490.5611905
CHURU,12,2779,231.5833333
VIDHYABHAVAN SURAT,1,201,201
HYDERABAD RANGAREDDI,2,740,370
CHEEKA,3,44494,14831.33333
CHANDRAPUR DIST,9,12124,1347.111111
"DIMAPUR, NAGALAND",17,29970.2,1762.952941
VILLUPURAM,48,20092.37,418.5910417
GOREGAO,1,1625,1625
MARG LOWER PAREL MUMBAI,41,63941.35,1559.545122
21A FARIDABAD,8,2544.99,318.12375
PATPARGANJ DELHI,5,3056.47,611.294
SOUTH DELHI DELHI,2,1710,855
NANDGAON,3,408,136
KAIMUR,3,1186.6,395.5333333
KHOWAI,1,10,10
KURUKSHETRA,30,16842.21,561.407
DONGARI GOREGAON WEST MUMBAI,2,94,47
LIPPA,2,215,107.5
KOTHANUR BANGALORE,3,1618,539.3333333
SARDHANA,2,9.98,4.99
MEDINIPUR,18,8989.45,499.4138889
